DATA_DIAGNOSTICO,CASOS,ÓBITO COVID-19,IDADE_MEDIA,CASOS_ACUMULADOS,POPULAÇÃO SUSCETÍVEL,ÓBITOS ACUMULADOS,MORTALIDADE / 100k,LETALIDADE_ACUMULADA %,LETALIDADE %,INFECTADOS,RECUPERADOS
2020-08-31,308,2,37.92857142857143,6235,326098,131,40.17197284251973,2.1010425020048116,0.6493506493506493,886.0,5468.0
2020-09-07,271,4,39.154981549815496,6506,325827,135,41.43303041184432,2.0750076852136488,1.4760147601476015,842.0,5790.0
2020-09-14,384,5,37.4609375,6890,325443,140,43.0182858442185,2.0319303338171264,1.3020833333333335,952.0,6067.0
2020-09-21,474,4,37.67299578059072,7364,324969,144,44.31191898304146,1.9554589896795218,0.8438818565400843,1116.0,6379.0
2020-09-28,411,9,39.18978102189781,7775,324558,153,47.141034884365816,1.9678456591639872,2.18978102189781,1251.0,6659.0
2020-10-05,429,6,38.116550116550115,8204,324129,159,49.054543098581114,1.9380789858605558,1.3986013986013985,1295.0,7049.0
2020-10-12,270,6,39.925925925925924,8474,323859,165,50.94809778329458,1.9471324050035401,2.2222222222222223,1089.0,7529.0
2020-10-19,266,6,39.42857142857143,8740,323593,171,52.84415917526028,1.956521739130435,2.2556390977443606,947.0,7946.0
2020-10-26,243,4,37.57201646090535,8983,323350,175,54.12092160197928,1.948124234665479,1.646090534979424,763.0,8379.0
2020-11-02,199,3,39.07537688442211,9182,323151,178,55.08260844001721,1.9385754737529948,1.507537688442211,695.0,8652.0
2020-11-09,283,7,37.45229681978799,9465,322868,185,57.298958088135095,1.954569466455362,2.4734982332155475,711.0,8925.0
2020-11-16,570,7,38.94210526315789,10035,322298,192,59.572197159150846,1.9133034379671152,1.2280701754385965,1035.0,9175.0
2020-11-23,491,10,40.45824847250509,10526,321807,202,62.77054259229911,1.9190575717271519,2.0366598778004072,1320.0,9384.0
2020-11-30,798,5,39.404761904761905,11324,321009,207,64.48417334093436,1.8279759802190039,0.6265664160401002,1837.0,9672.0
2020-12-07,875,11,38.689142857142855,12199,320134,218,68.09648459707498,1.787031723911796,1.2571428571428571,2138.0,10253.0
2020-12-14,1070,18,40.40654205607477,13269,319064,236,73.96635157836671,1.7785816564925765,1.6822429906542056,2709.0,10762.0
2020-12-21,1546,10,39.456662354463134,14815,317518,246,77.47592262485905,1.66047924400945,0.646830530401035,3452.0,11570.0
2020-12-28,853,6,40.47948417350528,15668,316665,252,79.57936620719056,1.60837375542507,0.7033997655334115,3435.0,12451.0
2021-01-04,671,5,39.9806259314456,16339,315994,257,81.33065817705399,1.5729236795397517,0.7451564828614009,3049.0,13526.0
2021-01-11,1257,11,39.425616547334926,17596,314737,268,85.15045895461925,1.523073425778586,0.8750994431185362,2759.0,15083.0
2021-01-18,982,12,40.31670061099796,18578,313755,280,89.24160571146277,1.5071590052750565,1.2219959266802443,2882.0,15948.0
2021-01-25,793,14,40.65069356872635,19371,312962,294,93.94111745195902,1.517732693201177,1.7654476670870116,2995.0,16633.0
2021-02-01,882,10,39.81065759637188,20253,312080,304,97.41092027685208,1.5010121957240903,1.1337868480725624,2621.0,17900.0
2021-02-08,709,9,37.97179125528914,20962,311371,313,100.52317010896968,1.4931781318576471,1.2693935119887165,2351.0,18891.0
2021-02-15,884,19,39.914027149321264,21846,310487,332,106.92879250983133,1.519729012176142,2.1493212669683257,2437.0,19703.0
2021-02-22,1309,47,41.983193277310924,23155,309178,379,122.58310746560235,1.6367955085294754,3.590527119938885,2827.0,20632.0
2021-03-01,1465,80,42.106484641638225,24620,307713,459,149.1649686558579,1.8643379366368804,5.460750853242321,3512.0,21421.0
2021-03-08,1810,59,41.40055248618785,26430,305903,518,169.33472375230056,1.9598940597805523,3.259668508287293,4398.0,22364.0
2021-03-15,1117,45,41.28469113697404,27547,304786,563,184.7197705931375,2.0437797219297926,4.028648164726947,4208.0,23718.0
2021-03-22,1283,40,41.13639906469213,28830,303503,603,198.6800789448539,2.0915712799167534,3.117692907248636,4066.0,25223.0
2021-03-29,1065,35,41.352112676056336,29895,302438,638,210.9523274191735,2.134136143167754,3.286384976525822,3345.0,27068.0
2021-04-05,519,20,40.3757225433526,30414,301919,658,217.9392486064143,2.163477345959098,3.8535645472061653,2772.0,28205.0
2021-04-12,314,6,41.745222929936304,30728,301605,664,220.15550140083886,2.1608956001041393,1.910828025477707,1837.0,29494.0
2021-04-19,330,9,39.73939393939394,31058,301275,673,223.38395153929133,2.1669135166462747,2.727272727272727,1128.0,30568.0
2021-04-26,257,10,41.06225680933852,31315,301018,683,226.8967304280807,2.1810633881526424,3.8910505836575875,876.0,31097.0
2021-05-03,285,13,39.435087719298245,31600,300733,696,231.43452830251417,2.2025316455696204,4.56140350877193,840.0,31424.0
2021-05-10,465,15,39.5505376344086,32065,300268,711,236.78846896772217,2.2173709652268827,3.225806451612903,969.0,31769.0
2021-05-17,615,18,38.34959349593496,32680,299653,729,243.28139548077274,2.230722154222766,2.9268292682926833,1319.0,32044.0
2021-05-24,700,27,39.238571428571426,33380,298953,756,252.88256013487072,2.2648292390653086,3.8571428571428568,1720.0,32356.0
2021-05-31,1258,35,37.80445151033386,34638,297695,791,265.70819126958804,2.283619146601998,2.7821939586645468,2493.0,32856.0
2021-06-07,1124,35,38.64946619217082,35762,296571,826,278.5167801302218,2.3097142217996756,3.113879003558719,2985.0,33506.0
2021-06-14,873,37,39.549828178694156,36635,295698,863,291.8518217911518,2.355670806605705,4.238258877434135,3148.0,34243.0
2021-06-21,846,19,39.2434988179669,37481,294852,882,299.1331244149607,2.353192284090606,2.2458628841607564,2752.0,35520.0
2021-06-28,701,9,37.074179743223965,38182,294151,891,302.9056504992334,2.3335603163794456,1.2838801711840229,2355.0,36653.0
2021-07-05,417,8,39.11031175059952,38599,293734,899,306.0592236513308,2.329075882794891,1.9184652278177456,1928.0,37534.0
2021-07-12,392,9,37.96683673469388,38991,293342,908,309.53630915450225,2.3287425303275113,2.295918367346939,1484.0,38389.0
2021-07-19,403,4,37.28287841191067,39394,292939,912,311.32761428147154,2.315073361425598,0.9925558312655087,1191.0,39094.0
2021-07-26,542,13,37.44649446494465,39936,292397,925,316.35071495261576,2.3162059294871797,2.3985239852398523,1311.0,39524.0
2021-08-02,439,11,36.62870159453303,40375,291958,936,320.59405804944544,2.318266253869969,2.5056947608200453,1356.0,39927.0
2021-08-09,728,15,36.90934065934066,41103,291230,951,326.5460289118566,2.3136997299467192,2.0604395604395602,1670.0,40345.0
2021-08-16,828,16,35.86231884057971,41931,290402,967,332.98668741950814,2.3061696596789965,1.932367149758454,1953.0,40903.0
2021-08-23,1109,16,35.53651938683499,43040,289293,983,339.79391136322,2.2839219330855016,1.4427412082957618,2618.0,41358.0
2021-08-30,1233,23,35.82562854825628,44273,288060,1006,349.2327987224884,2.272265263252998,1.8653690186536902,3115.0,42109.0
2021-09-06,1265,18,36.00553359683794,45538,286795,1024,357.04946041597657,2.24867143923756,1.4229249011857708,3550.0,42955.0
2021-09-13,1110,29,36.96036036036036,46648,285685,1053,368.58778024747534,2.2573315040301836,2.6126126126126126,3538.0,44093.0
2021-09-20,936,22,38.16025641025641,47584,284749,1075,377.52546979971834,2.2591627437794215,2.3504273504273505,3242.0,45348.0
2021-09-27,623,21,38.048154093097914,48207,284126,1096,385.74435285753503,2.273528740639326,3.3707865168539324,2597.0,46634.0
2021-10-04,334,9,36.17065868263473,48541,283792,1105,389.3696792016688,2.276426114006716,2.694610778443114,1841.0,47753.0
2021-10-11,276,16,39.19202898550725,48817,283516,1121,395.392147180406,2.2963311960997195,5.797101449275362,1187.0,48705.0
2021-10-18,189,8,40.67195767195767,49006,283327,1129,398.4794954240154,2.303799534750847,4.232804232804233,766.0,49336.0
2021-10-25,152,4,34.17763157894737,49158,283175,1133,400.10594155557516,2.30481305179218,2.631578947368421,589.0,49674.0
2021-11-01,121,2,35.96694214876033,49279,283054,1135,400.98355790767835,2.303212321678606,1.6528925619834711,448.0,49952.0
2021-11-08,156,0,37.3974358974359,49435,282898,1135,401.2046744763131,2.2959441691109537,0.0,423.0,50141.0
2021-11-15,66,2,42.621212121212125,49501,282832,1137,402.00543078576686,2.296923294478899,3.0303030303030303,339.0,50295.0
2021-11-22,61,3,40.19672131147541,49562,282771,1140,403.1530814687503,2.3001493079375326,4.918032786885246,278.0,50419.0
2021-11-29,35,2,38.94285714285714,49597,282736,1142,403.91036160941655,2.3025586224973282,5.714285714285714,155.0,50577.0
2021-12-06,15,0,42.06666666666667,49612,282721,1142,403.9317914127355,2.301862452632428,0.0,106.0,50643.0
2021-12-13,16,0,44.625,49628,282705,1142,403.95465237615184,2.3011203352945917,0.0,64.0,50704.0
2021-12-20,17,1,38.94117647058823,49645,282688,1143,404.3326918723115,2.302346661295196,5.88235294117647,47.0,50740.0
2021-12-27,24,1,37.083333333333336,49669,282664,1144,404.7207992528231,2.3032474984396707,4.166666666666666,55.0,50756.0
2022-01-03,76,0,37.93421052631579,49745,282588,1144,404.829645986383,2.2997286159413006,0.0,115.0,50772.0
2022-01-10,815,1,35.53496932515338,50560,281773,1145,406.3554705383412,2.264636075949367,0.1226993865030675,913.0,50790.0
2022-01-17,2319,6,36.54506252695127,52879,279454,1151,411.8745840102486,2.17666748614762,0.258732212160414,3203.0,50820.0
2022-01-24,4106,12,35.673161227471994,56985,275348,1163,422.3745950578904,2.04088795297008,0.2922552362396493,7221.0,50908.0
2022-01-31,5082,16,34.997638724911454,62067,270266,1179,436.2368925429022,1.8995601527381702,0.3148366784730421,11473.0,51739.0
2022-02-07,4845,8,35.36862745098039,66912,265421,1187,447.2140486246379,1.7739717838354854,0.1651186790505676,13997.0,54066.0
2022-02-14,3221,7,34.4057746041602,70133,262200,1194,455.37757437070934,1.7024795745226928,0.21732381248059607,13117.0,58179.0
2022-02-21,2325,11,33.416774193548385,72458,259875,1205,463.6844636844637,1.6630323773772393,0.4731182795698925,10365.0,63272.0
2022-02-28,1293,4,34.095901005413765,73751,258582,1209,467.5499454718426,1.6392998061043238,0.30935808197989173,6817.0,68121.0
2022-03-07,607,3,35.84349258649094,74358,257975,1212,469.8129663727105,1.6299523924796258,0.4942339373970346,4207.0,71345.0
2022-03-14,397,2,34.6095717884131,74755,257578,1214,471.31354385855934,1.6239716406929303,0.5037783375314862,2288.0,73672.0
2022-03-21,287,3,36.149825783972126,75042,257291,1217,473.00527418370643,1.6217584819167932,1.0452961672473868,1283.0,74968.0
2022-03-28,190,2,36.636842105263156,75232,257101,1219,474.1327338283399,1.620321139940451,1.0526315789473684,867.0,75577.0
2022-04-04,105,0,35.95238095238095,75337,256996,1219,474.32644866067955,1.6180628376494948,0.0,577.0,75974.0
2022-04-11,168,2,38.25595238095238,75505,256828,1221,475.4154531437382,1.617111449572876,1.1904761904761905,459.0,76263.0
2022-04-18,67,0,37.8955223880597,75572,256761,1221,475.5395095049482,1.6156777642513098,0.0,338.0,76453.0
2022-04-25,112,1,41.026785714285715,75684,256649,1222,476.1366691473569,1.6146081073939011,0.8928571428571428,344.0,76559.0
